1739307433000,95223.85622222
1739307434000,95218.41644444
1739307435000,95218.41644444
1739307436001,95208.99933333
1739307437000,95208.50622222
1739307438000,95208.50688889
1739307439000,95208.50688889
1739307440000,95212.40622222
1739307441000,95215.92800000
1739307442000,95219.61311111
1739307443000,95219.61311111
1739307444000,95219.79377778
1739307445000,95224.40266667
1739307446000,95224.40266667
1739307447000,95226.68244444
1739307448000,95226.69333333
1739307449001,95227.17444444
1739307450000,95227.18333333
1739307451000,95227.18333333
1739307452000,95241.27555556
1739307453000,95241.27555556
1739307454000,95259.35222222
1739307455000,95259.08711111
1739307456000,95259.08711111
1739307457000,95259.09288889
1739307458000,95259.09288889
1739307459000,95259.09288889
1739307460000,95259.22533333
1739307461000,95259.22533333
1739307462000,95259.22088889
1739307463000,95259.73555556
1739307464001,95259.71711111
1739307465000,95262.42422222
1739307466000,95265.26466667
1739307467000,95265.26466667
1739307468000,95265.45133333
1739307469000,95265.97200000
1739307470000,95265.97200000
1739307471000,95265.98977778
1739307472000,95266.08111111
1739307473000,95269.67400000
1739307474000,95269.29111111
1739307475000,95269.07177778
1739307476000,95269.07177778
1739307477000,95269.06288889
1739307478000,95269.39555556
1739307479000,95269.21333333
1739307480000,95269.23133333
1739307481000,95269.23133333
1739307482000,95269.23133333
1739307483000,95269.23133333
1739307484000,95270.08222222
1739307485001,95251.86155556
1739307486000,95251.86155556
1739307487000,95251.18244444
1739307488000,95250.99511111
1739307489000,95250.99511111
1739307490000,95239.11755556
1739307491000,95238.80577778
1739307492000,95238.80577778
1739307493000,95232.29844444
1739307494000,95231.14000000
1739307495000,95231.23133333
1739307496000,95229.95355556
1739307497000,95229.95355556
1739307498000,95225.54155556
1739307499000,95238.30933333
1739307500000,95244.64755556
1739307501000,95244.64755556
1739307502000,95245.40155556
1739307503000,95245.73244444
1739307504000,95245.73688889
1739307505000,95245.73688889
1739307506000,95245.75088889
1739307507000,95246.04244444
1739307508000,95245.97933333
1739307509000,95244.81355556
1739307510000,95244.81422222
1739307511000,95244.81422222
1739307512000,95244.81044444
1739307513000,95240.64533333
1739307514000,95240.59511111
1739307515000,95240.59511111
1739307516001,95240.59511111
1739307517000,95240.59733333
1739307518000,95248.87888889
1739307519000,95248.87888889
1739307520000,95252.14066667
1739307521001,95253.63444444
1739307522001,95253.63511111
1739307523000,95253.63511111
1739307524000,95253.78666667
1739307525001,95253.78666667
1739307526000,95254.04577778
1739307527000,95254.05466667
1739307528000,95254.05466667
1739307529000,95254.05466667
1739307530000,95254.18800000
1739307531001,95273.04933333
1739307532000,95273.04933333
1739307533000,95275.05977778
1739307534000,95275.05977778
1739307535000,95275.39111111
1739307536000,95275.38666667
1739307537000,95275.38666667
1739307538000,95275.37711111
1739307539000,95275.10755556
1739307540000,95275.10755556
1739307541000,95284.09200000
1739307542000,95280.89711111
1739307543000,95276.46022222
1739307544000,95276.36488889
1739307545000,95276.81244444
1739307546000,95276.81244444
1739307547000,95282.19133333
1739307548000,95282.19133333
1739307549000,95281.61466667
1739307550000,95281.61466667
1739307551000,95270.65733333
1739307552000,95263.75800000
1739307553000,95263.34222222
1739307554000,95264.88755556
1739307555000,95243.12755556
1739307556000,95225.58600000
1739307557001,95225.58600000
1739307558001,95211.02933333
1739307559000,95204.72511111
1739307560000,95206.50400000
1739307561000,95206.50400000
1739307562000,95201.49066667
1739307563000,95201.49066667
1739307564000,95211.90511111
1739307565001,95211.90511111
1739307566000,95203.54533333
1739307567001,95204.16488889
1739307568001,95212.14955556
1739307569000,95224.10666667
1739307570000,95224.10666667
1739307571000,95223.57733333
1739307572000,95233.01022222
1739307573000,95233.01022222
1739307574000,95249.54866667
1739307575000,95266.15888889
1739307576000,95267.96222222
1739307577000,95269.59777778
1739307578000,95269.59777778
1739307579000,95274.25666667
1739307580000,95275.00622222
1739307581000,95275.27266667
1739307582000,95277.24888889
1739307583000,95279.71955556
1739307584000,95279.71955556
1739307585000,95279.71955556
1739307586000,95284.47577778
1739307587000,95284.47577778
1739307588000,95280.61066667
1739307589000,95296.33222222
1739307590000,95296.00555556
1739307591000,95296.00555556
1739307592000,95288.59422222
1739307593000,95288.59422222
1739307594000,95288.10333333
1739307595000,95289.98133333
1739307596000,95308.20311111
1739307597000,95323.34977778
1739307598000,95323.34977778
1739307599000,95318.92377778
1739307600000,95308.95577778
1739307601000,95308.95577778
1739307602001,95295.30266667
1739307603000,95295.30266667
1739307604000,95281.44200000
1739307605001,95278.89355556
1739307606000,95275.88311111
1739307607000,95275.88311111
1739307608000,95277.75533333
1739307609000,95277.18777778
1739307610000,95284.74644444
1739307611000,95284.74644444
1739307612000,95285.67911111
1739307613000,95299.58844444
1739307614000,95302.11911111
1739307615000,95302.11911111
1739307616000,95308.45866667
1739307617000,95308.45866667
1739307618000,95319.30622222
1739307619000,95319.30622222
1739307620000,95320.01466667
1739307621000,95319.43755556
1739307622000,95316.65822222
1739307623000,95316.62511111
1739307624000,95316.62511111
1739307625000,95328.94022222
1739307626000,95328.94022222
1739307627000,95329.79888889
1739307628000,95337.67200000
1739307629000,95336.57155556
1739307630000,95336.57155556
1739307631000,95336.54177778
1739307632000,95336.31155556
1739307633000,95335.39933333
1739307634000,95336.27488889
1739307635000,95342.35333333
1739307636000,95342.35333333
1739307637000,95345.34622222
1739307638001,95345.59888889
1739307639001,95347.64333333
1739307640000,95347.64333333
1739307641000,95349.37422222
1739307642000,95360.61600000
1739307643000,95362.42822222
1739307644000,95366.32844444
1739307645000,95366.32844444
1739307646000,95369.07955556
1739307647000,95369.07955556
